Storey,Pattern,Load
1,distributed,18.224999999999998
1,point internal,0.0
1,point external,0.0
1,pdelta,601.425
1,mass,81.74311926605503
2,distributed,18.224999999999998
2,point internal,0.0
2,point external,0.0
2,pdelta,601.425
2,mass,81.74311926605503
3,distributed,18.224999999999998
3,point internal,0.0
3,point external,0.0
3,pdelta,601.425
3,mass,81.74311926605503
4,distributed,18.224999999999998
4,point internal,0.0
4,point external,0.0
4,pdelta,601.425
4,mass,81.74311926605503
5,distributed,14.85
5,point internal,0.0
5,point external,0.0
5,pdelta,490.04999999999995
5,mass,66.60550458715596
