Element,Bay,Storey,Position,b,h,coverNeg,coverPos,lp,length,phi1Neg,phi2Neg,phi3Neg,m1Neg,m2Neg,m3Neg,phi1,phi2,phi3,m1,m2,m3
Beam,1,1,external,0.4,0.6499999999999999,0.03,0.03,0.3651999999999999,4.5,0.00534077409215123,0.12873028802505684,0.18533314532366105,164.85211830112962,165.97519214217868,0.11584670627913594,0.005583565833635821,0.11134250658095986,0.18468178076771785,209.01499720163986,210.3781181663004,1.2938798790178725
Beam,3,1,external,0.4,0.6499999999999999,0.03,0.03,0.3651999999999999,4.5,0.00534077409215123,0.12873028802505684,0.18533314532366105,164.85211830112962,165.97519214217868,0.11584670627913594,0.005583565833635821,0.11134250658095986,0.18468178076771785,209.01499720163986,210.3781181663004,1.2938798790178725
Beam,2,1,internal,0.4,0.6499999999999999,0.03,0.03,0.3651999999999999,2.0,0.004718271854605688,0.11248301094268733,0.16825093153686851,272.5984345744749,273.9861875192339,1.7249651362470215,0.005699135297246524,0.10522730280647327,0.1681302724176447,295.7148161008708,297.17641729050763,1.8921359237180724
Beam,1,2,external,0.4,0.6499999999999999,0.03,0.03,0.3651999999999999,4.5,0.005493018703400313,0.12945151183828876,0.1851918274158738,158.73037904103933,159.83406740889762,0.4020267881417325,0.005826432609617762,0.11205381055346056,0.18432648525208792,197.46988653776214,198.8070393968836,1.789288056781956
Beam,3,2,external,0.4,0.6499999999999999,0.03,0.03,0.3651999999999999,4.5,0.005493018703400313,0.12945151183828876,0.1851918274158738,158.73037904103933,159.83406740889762,0.4020267881417325,0.005826432609617762,0.11205381055346056,0.18432648525208792,197.46988653776214,198.8070393968836,1.789288056781956
Beam,2,2,internal,0.4,0.6499999999999999,0.03,0.03,0.3651999999999999,2.0,0.005618029664728422,0.11751044396968112,0.1679966026067102,224.4801405588825,225.79229407151868,2.0632199607535497,0.004946774163799356,0.10992023310237424,0.16783301816719998,246.26295977634547,247.673017578868,2.252769098520915
Beam,1,3,external,0.4,0.6499999999999999,0.03,0.03,0.3651999999999999,4.5,0.005334611576116853,0.1225982482897354,0.18479779022624265,158.72480929600732,159.84132662250857,1.110076611792362,0.004674036373474683,0.11387953099096293,0.18361879344548784,170.2578141909472,171.48478607939944,2.4879757947937904
Beam,3,3,external,0.4,0.6499999999999999,0.03,0.03,0.3651999999999999,4.5,0.005334611576116853,0.1225982482897354,0.18479779022624265,158.72480929600732,159.84132662250857,1.110076611792362,0.004674036373474683,0.11387953099096293,0.18361879344548784,170.2578141909472,171.48478607939944,2.4879757947937904
Beam,2,3,internal,0.4,0.6499999999999999,0.03,0.03,0.3651999999999999,2.0,0.0053620581159147356,0.1229016959447885,0.18487687702727568,158.7259297324367,159.8399355604938,0.9784167982469932,0.0046977818723042825,0.11603027143679907,0.18442309661630693,175.05445393012798,176.26782182977124,1.664500852987814
Beam,1,4,external,0.4,0.6499999999999999,0.03,0.03,0.3651999999999999,4.5,0.005268712655046101,0.12181126640429453,0.18458852823173288,158.72178004035226,159.84484721732883,1.4336767302009081,0.004815883286421999,0.11329492830033308,0.2204043651738382,158.67139744142747,159.87835589987878,0.6329806774943236
Beam,3,4,external,0.4,0.6499999999999999,0.03,0.03,0.3651999999999999,4.5,0.005268712655046101,0.12181126640429453,0.18458852823173288,158.72178004035226,159.84484721732883,1.4336767302009081,0.004815883286421999,0.11329492830033308,0.2204043651738382,158.67139744142747,159.87835589987878,0.6329806774943236
Beam,2,4,internal,0.4,0.6499999999999999,0.03,0.03,0.3651999999999999,2.0,0.005268712655046101,0.12181126640429453,0.18458852823173288,158.72178004035226,159.84484721732883,1.4336767302009081,0.004793543203282365,0.11234903200009984,0.22003081692011744,158.66597162960426,159.8805466499202,2.54821903861118
Beam,1,5,external,0.4,0.6,0.03,0.03,0.3651999999999999,4.5,0.00569165212656769,0.12500173479692325,0.18284326549267702,134.04190011317223,135.10762479119654,1.9438253736544768,0.004993903102023772,0.1100549974617266,0.6112600572702938,133.97983641741857,135.14812897464336,0.7932734017365135
Beam,3,5,external,0.4,0.6,0.03,0.03,0.3651999999999999,4.5,0.00569165212656769,0.12500173479692325,0.18284326549267702,134.04190011317223,135.10762479119654,1.9438253736544768,0.004993903102023772,0.1100549974617266,0.6112600572702938,133.97983641741857,135.14812897464336,0.7932734017365135
Beam,2,5,internal,0.4,0.6,0.03,0.03,0.3651999999999999,2.0,0.00569165212656769,0.12500173479692325,0.18284326549267702,134.04190011317223,135.10762479119654,1.9438253736544768,0.004865097222486776,0.1047546900532996,4.47720503585038,133.92444381047028,135.16330195471593,0.07187049230615927
Column,1,1,external,0.5,0.5,0.03,0.03,0.3651999999999999,3.5,0.007507772935759517,0.1055858329524432,0.27868448641511706,197.23407080261174,199.10861572798126,1e-09,0.007507772935759517,0.1055858329524432,0.27868448641511706,197.23407080261174,199.10861572798126,1e-09
Column,4,1,external,0.5,0.5,0.03,0.03,0.3651999999999999,3.5,0.007507772935759517,0.1055858329524432,0.27868448641511706,197.23407080261174,199.10861572798126,1e-09,0.007507772935759517,0.1055858329524432,0.27868448641511706,197.23407080261174,199.10861572798126,1e-09
Column,2,1,internal,0.5999999999999999,0.5999999999999999,0.03,0.03,0.3651999999999999,3.5,0.006640296778026068,0.0936620425692314,0.35119383030160856,344.97325358733644,347.44823614201323,1e-09,0.006640296778026068,0.0936620425692314,0.35119383030160856,344.97325358733644,347.44823614201323,1e-09
Column,3,1,internal,0.5999999999999999,0.5999999999999999,0.03,0.03,0.3651999999999999,3.5,0.006640296778026068,0.0936620425692314,0.35119383030160856,344.97325358733644,347.44823614201323,1e-09,0.006640296778026068,0.0936620425692314,0.35119383030160856,344.97325358733644,347.44823614201323,1e-09
Column,1,2,external,0.5,0.5,0.03,0.03,0.3651999999999999,3.0,0.007042712596318391,0.09992836677257454,0.2788137775686597,206.23379470312452,208.20155928611996,1e-09,0.007042712596318391,0.09992836677257454,0.2788137775686597,206.23379470312452,208.20155928611996,1e-09
Column,4,2,external,0.5,0.5,0.03,0.03,0.3651999999999999,3.0,0.007042712596318391,0.09992836677257454,0.2788137775686597,206.23379470312452,208.20155928611996,1e-09,0.007042712596318391,0.09992836677257454,0.2788137775686597,206.23379470312452,208.20155928611996,1e-09
Column,2,2,internal,0.5999999999999999,0.5999999999999999,0.03,0.03,0.3651999999999999,3.0,0.005977614324472606,0.08093765058337214,0.3291310822263268,369.19742355493116,371.89021485847314,1e-09,0.005977614324472606,0.08093765058337214,0.3291310822263268,369.19742355493116,371.89021485847314,1e-09
Column,3,2,internal,0.5999999999999999,0.5999999999999999,0.03,0.03,0.3651999999999999,3.0,0.005977614324472606,0.08093765058337214,0.3291310822263268,369.19742355493116,371.89021485847314,1e-09,0.005977614324472606,0.08093765058337214,0.3291310822263268,369.19742355493116,371.89021485847314,1e-09
Column,1,3,external,0.45,0.45,0.03,0.03,0.3651999999999999,3.0,0.008961095509321717,0.0995477132214804,0.2865958403782,152.58930563707915,154.35657822906168,1e-09,0.008961095509321717,0.0995477132214804,0.2865958403782,152.58930563707915,154.35657822906168,1e-09
Column,4,3,external,0.45,0.45,0.03,0.03,0.3651999999999999,3.0,0.008961095509321717,0.0995477132214804,0.2865958403782,152.58930563707915,154.35657822906168,1e-09,0.008961095509321717,0.0995477132214804,0.2865958403782,152.58930563707915,154.35657822906168,1e-09
Column,2,3,internal,0.5499999999999999,0.5499999999999999,0.03,0.03,0.3651999999999999,3.0,0.007422161975865645,0.057388841751659876,0.2959291390270498,364.9164737968658,367.8136801251213,1e-09,0.007422161975865645,0.057388841751659876,0.2959291390270498,364.9164737968658,367.8136801251213,1e-09
Column,3,3,internal,0.5499999999999999,0.5499999999999999,0.03,0.03,0.3651999999999999,3.0,0.007422161975865645,0.057388841751659876,0.2959291390270498,364.9164737968658,367.8136801251213,1e-09,0.007422161975865645,0.057388841751659876,0.2959291390270498,364.9164737968658,367.8136801251213,1e-09
Column,1,4,external,0.45,0.45,0.03,0.03,0.3651999999999999,3.0,0.008505998942698552,0.15175775493913535,0.4026572350042351,179.86284356259358,182.01010709746043,1e-09,0.008505998942698552,0.15175775493913535,0.4026572350042351,179.86284356259358,182.01010709746043,1e-09
Column,4,4,external,0.45,0.45,0.03,0.03,0.3651999999999999,3.0,0.008505998942698552,0.15175775493913535,0.4026572350042351,179.86284356259358,182.01010709746043,1e-09,0.008505998942698552,0.15175775493913535,0.4026572350042351,179.86284356259358,182.01010709746043,1e-09
Column,2,4,internal,0.5499999999999999,0.5499999999999999,0.03,0.03,0.3651999999999999,3.0,0.007332741881451827,0.07366279292621702,0.3023012533780818,327.9109878822379,330.4601980126733,1e-09,0.007332741881451827,0.07366279292621702,0.3023012533780818,327.9109878822379,330.4601980126733,1e-09
Column,3,4,internal,0.5499999999999999,0.5499999999999999,0.03,0.03,0.3651999999999999,3.0,0.007332741881451827,0.07366279292621702,0.3023012533780818,327.9109878822379,330.4601980126733,1e-09,0.007332741881451827,0.07366279292621702,0.3023012533780818,327.9109878822379,330.4601980126733,1e-09
Column,1,5,external,0.4,0.4,0.03,0.03,0.3651999999999999,3.0,0.010470564387742205,0.13258783598447327,0.3889366761733141,114.99594984648658,116.66690785644856,1e-09,0.010470564387742205,0.13258783598447327,0.3889366761733141,114.99594984648658,116.66690785644856,1e-09
Column,4,5,external,0.4,0.4,0.03,0.03,0.3651999999999999,3.0,0.010470564387742205,0.13258783598447327,0.3889366761733141,114.99594984648658,116.66690785644856,1e-09,0.010470564387742205,0.13258783598447327,0.3889366761733141,114.99594984648658,116.66690785644856,1e-09
Column,2,5,internal,0.5,0.5,0.03,0.03,0.3651999999999999,3.0,0.00732350227634523,0.0862869764418146,0.279472255055248,229.408932911955,231.60548098467038,1e-09,0.00732350227634523,0.0862869764418146,0.279472255055248,229.408932911955,231.60548098467038,1e-09
Column,3,5,internal,0.5,0.5,0.03,0.03,0.3651999999999999,3.0,0.00732350227634523,0.0862869764418146,0.279472255055248,229.408932911955,231.60548098467038,1e-09,0.00732350227634523,0.0862869764418146,0.279472255055248,229.408932911955,231.60548098467038,1e-09
